id,developer
1000570,Taito Corporation
1000571,Irem Corporation
1000572,K. K. Toki
1000572,Namco
1000573,Nichibutsu
1000573,Incentive Software
1000575,Atari Corporation
1000575,Atari
1000577,Zircon International
1000578,"Sega Enterprises, Ltd."
1000580,Taito
1000581,Midway Manufacturing
1000582,Taito
1000583,Taito
1000583,Polyvox
1000585,Donald Brown
1000586,Atari
1000587,Nintendo
1000588,Device Oriented Games
1000588,Tandy
1000589,Leijac
1000589,Konami
1000590,"StarCraft, Inc."
1000590,Sierra On-Line
1000591,Namco
1000591,Midway Manufacturing
1000592,Sega/Gremlin
1000593,Gottlieb
1000593,Sigma Enterprises
1000594,Coleco
1000594,Sega/Gremlin
1000595,Midway Manufacturing
1000596,"Venture Line, Inc."
1000596,Sigma Enterprises
1000597,"Sega Enterprises, Ltd."
1000597,Sega
1000598,GCE
1000598,Cinematronics
1000599,Adventure International
1000600,Midway Manufacturing
1000601,Atari
1000602,"Universal Co., Ltd."
1000603,Nintendo
1000604,"Sega Enterprises, Ltd."
1000606,"Atari, Inc."
1000606,Atari
1000607,Nintendo
1000608,Nintendo
1000609,"Micro Lab, Inc."
1000610,Digiplay
1000610,Mattel Electronics
1000611,Mattel Electronics
1000612,Digiplay
1000612,Mattel Electronics
1000614,Nintendo
1000614,Nintendo R&D1
1000615,Mattel Electronics
1000615,APh Technological Consulting
1000617,Digiplay
1000617,Mattel Electronics
1000618,Nintendo
1000619,Digiplay
1000619,APh Technological Consulting
1000620,Sears
1000620,APh Technological Consulting
1000621,Namco
1000621,GamePlan
1000622,Ikegami Tsushinki
1000622,Nintendo
1000623,Atari
1000624,Commodore
1000624,Namco Limited
1000625,Atari
1000625,"Atari, Inc."
1000626,Cinematronics
1000626,GCE
1000627,APh Technological Consulting
1000627,Mattel Electronics
1000628,Mattel
1000628,APh Technological Consulting
1000629,Atari
1000629,Stern Electronics
1000630,Sega/Gremlin
1000631,Amstar Electronics
1000631,Tehkan
1000632,Sun Electronics
1000633,"SSI (Strategic Simulations, Inc.)"
1000634,Kiya Overseas Industry
1000634,"Microcomputer Games, Inc."
1000635,Data East Corporation
1000636,Acetronic
1000636,Philips Semiconductors
1000638,Epyx
1000638,"Automated Simulations, Inc."
1000639,Exidy
1000640,Computersmiths
1000641,"Sega Enterprises, Inc."
1000642,Magnavox
1000643,Adventure International
1000644,Nintendo
1000645,Magnavox
1000646,MECC
1000647,Data East Corporation
1000648,Exidy
1000649,Tandy Corporation
1000650,"Atari, Inc."
1000650,Sears
1000651,Chameleon Software
1000651,Adventure International
1000652,Krell Software
1000653,Activision
1000654,"Sega Enterprises, Inc."
1000655,Data East Corporation
1000656,Adventure International
1000657,Acetronic
1000657,Philips Semiconductors
1000659,Data East Corporation
1000660,"SSI (Strategic Simulations, Inc.)"
1000661,"Automated Simulations, Inc."
1000662,Sirius Software
1000663,"Automated Simulations, Inc."
1000663,Epyx
1000664,Frank Corr JR
1000664,Med Systems Software
1000665,Sega/Gremlin
1000665,Gremlin Industries
1000666,"SSI (Strategic Simulations, Inc.)"
1000667,Adventure International
1000668,Magnavox
1000669,Nintendo
1000670,Magnavox
1000671,Funvision
1000673,Taito
1000673,Taito Corporation
